timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
630,22.0,100,130,2.6,0,22
631,22.0,100,160,2.6,79,120
632,23.0,94,160,3.1,60,238
633,23.0,94,180,3.1,412,286
634,26.0,79,160,5.1,624,285
635,25.8,79,160,5.1,798,212
636,25.0,83,190,5.1,842,192
637,26.0,70,200,8.2,714,289
638,25.4,79,200,7.7,525,351
639,25.2,80,200,7.7,580,260
640,25.0,83,180,7.7,499,227
641,25.0,84,170,7.7,345,177
642,24.5,86,170,6.2,73,107
643,23.9,90,170,4.6,0,14
644,23.4,94,170,3.1,0,0
645,23.3,94,170,2.8,0,0
646,23.1,94,170,2.4,0,0
647,23.0,95,130,2.1,0,0
648,23.0,93,130,1.4,0,0
649,23.0,93,130,0.7,0,0
650,23.0,92,0,0.0,0,0
651,22.9,93,0,0.7,0,0
652,22.7,94,0,1.4,0,0
653,22.6,95,210,2.1,0,0
654,23.3,90,210,2.6,0,19
655,24.0,83,200,3.1,80,117
656,24.6,81,230,6.2,243,217
657,25.3,77,230,5.1,405,281
658,26.0,74,210,4.1,567,281
659,25.5,76,210,5.1,626,310
660,25.0,77,180,6.2,657,325
661,25.4,75,180,6.7,727,267
662,25.8,73,210,7.2,724,243
663,25.3,76,210,6.9,628,241
664,24.7,79,210,6.5,444,249
665,24.2,82,200,6.2,224,206
666,23.7,85,200,6.2,39,96
667,23.3,88,200,6.2,0,10
668,22.8,90,180,6.2,0,0
669,22.9,90,180,5.2,0,0
670,22.9,89,180,4.1,0,0
671,23.0,89,150,3.1,0,0
672,23.0,89,150,3.8,0,0
673,23.0,89,150,4.4,0,0
674,23.0,89,160,5.1,0,0
675,22.7,91,160,4.8,0,0
676,22.3,94,160,4.4,0,0
677,22.0,96,160,4.1,0,0
678,22.0,100,170,5.1,0,10
679,23.0,94,180,7.2,0,93
680,23.6,92,150,8.2,93,217
681,23.7,90,150,7.9,53,325
682,23.9,89,150,7.5,36,342
683,24.0,83,150,7.2,9,272
684,24.0,86,130,7.7,7,294
685,24.0,83,140,7.2,7,293
686,23.0,89,160,8.2,7,270
687,23.1,89,160,8.6,35,335
688,23.3,88,160,8.9,65,305
689,23.4,86,170,9.3,54,220
690,23.0,89,140,9.3,0,81
691,23.0,89,140,11.3,0,7
692,22.8,90,120,14.4,0,0
693,22.0,94,130,11.3,0,0
694,22.0,93,130,12.1,0,0
695,22.0,94,130,12.9,0,0
696,22.0,94,120,11.3,0,0
697,22.0,94,110,12.9,0,0
698,21.8,91,120,9.3,0,0
699,22.1,89,120,9.3,0,0
700,22.5,86,120,9.3,0,0
701,22.8,83,110,9.3,0,0
702,22.0,88,120,9.3,0,6
703,21.0,94,110,11.3,0,46
704,22.0,94,130,7.2,0,111
705,22.0,94,130,7.2,1,179
706,22.0,94,120,9.3,5,234
707,23.0,85,110,9.3,7,273
708,23.0,83,110,10.3,7,294
709,24.0,100,120,9.3,7,291
710,23.0,83,140,10.3,7,270
711,23.0,83,120,9.3,5,229
712,23.0,89,120,9.3,0,173
713,23.4,85,100,11.8,0,104
714,23.0,89,100,8.2,0,40
715,23.0,89,90,9.8,0,5
716,22.6,90,90,9.8,0,0
717,22.0,94,90,9.8,0,0
718,22.0,94,100,8.2,0,0
719,22.3,91,100,9.8,0,0
720,22.0,94,100,7.7,0,0
721,22.0,94,100,7.7,0,0
722,22.4,90,100,7.2,0,0
723,22.0,94,100,7.2,0,0
724,22.0,94,110,6.2,0,0
725,22.2,93,110,7.2,0,0
726,22.0,94,110,7.2,0,6
727,23.0,89,100,7.7,0,45
728,23.0,92,100,6.2,0,110
729,24.0,83,100,4.1,22,264
730,25.0,83,90,7.2,111,384
731,25.0,86,120,7.7,226,447
732,26.0,79,140,7.7,14,285
733,27.0,74,110,5.1,7,291
734,26.5,79,110,5.9,7,269
735,26.0,84,120,6.7,5,228
736,27.0,79,100,11.3,525,232
737,25.0,89,120,8.2,220,204
738,27.0,80,70,6.7,83,105
739,26.4,80,70,6.2,0,5
740,25.8,81,60,7.7,0,0
741,25.0,81,70,6.7,0,0
742,23.8,80,70,6.7,0,0
743,22.3,76,40,5.1,0,0
744,20.8,71,170,4.1,0,0
745,19.4,66,170,4.1,0,0
746,18.4,62,160,4.1,0,0
747,17.9,60,160,9.2,0,0
748,17.6,59,160,6.1,0,0
749,17.2,58,170,3.1,0,0
750,18.0,59,110,2.5,0,19
751,19.0,56,170,2.5,123,119
752,20.0,56,170,4.1,377,195
753,20.0,56,160,4.1,587,222
754,20.0,56,180,4.1,710,233
755,21.0,56,170,4.1,788,226
756,21.0,56,180,5.1,834,212
757,23.0,50,150,5.1,834,211
758,21.0,56,160,5.1,804,207
759,21.0,56,160,4.1,693,224
760,21.0,60,160,5.1,484,245
761,21.0,60,140,4.1,234,206
762,20.0,64,160,4.1,61,104
763,20.0,64,120,4.1,0,13
764,19.0,64,120,4.1,0,0
